prompt,seed,image_path,num_inference_steps,guidance_scale,height,width,time_seconds,prompt_id,model_id,device
"a futuristic city at night with neon lights and flying vehicles, highly detailed",1001,outputs\part_a\images\A01_seed1001.png,4,0.0,512,512,10.171639499996672,A01,stabilityai/sdxl-turbo,cuda
"a realistic portrait of an elderly scientist in a laboratory, soft light, detailed face",1002,outputs\part_a\images\A02_seed1002.png,4,0.0,512,512,9.789949099998921,A02,stabilityai/sdxl-turbo,cuda
"a fantasy dragon resting on a mountain, cinematic lighting, highly detailed",1003,outputs\part_a\images\A03_seed1003.png,4,0.0,512,512,9.952488499999163,A03,stabilityai/sdxl-turbo,cuda
"An ant in the foreground, centered on a little hill, hyper-realistic, looking up and to the right side, like an inspired ant. Behind it, there is a colony or  army of ants fighting. The scene si a set at night, with a clear sky and a full moon.",1004,outputs\part_a\images\A04_seed1004.png,4,0.0,512,512,8.826127899999847,A04,stabilityai/sdxl-turbo,cuda
"A autumn landscape of a park filled with trees and some people walking. The people are wearing a dark-to-brown color palette, admid falling leaves. An orange setting sun casts an afternoon glow, with a light mist hanging in the air",1005,outputs\part_a\images\A05_seed1005.png,4,0.0,512,512,7.954258199999458,A05,stabilityai/sdxl-turbo,cuda
"a bowl of ramen on a wooden table, steam rising, food photography, realistic",1006,outputs\part_a\images\A06_seed1006.png,4,0.0,512,512,9.374825899998541,A06,stabilityai/sdxl-turbo,cuda
"a medieval castle in the rain, dramatic clouds, cinematic atmosphere",1007,outputs\part_a\images\A07_seed1007.png,4,0.0,512,512,11.141840500000399,A07,stabilityai/sdxl-turbo,cuda
"a cute robot reading a book in a library, warm light, illustration style",1008,outputs\part_a\images\A08_seed1008.png,4,0.0,512,512,10.781617799999367,A08,stabilityai/sdxl-turbo,cuda
"an astronaut walking through a colorful alien forest, vibrant, detailed",1009,outputs\part_a\images\A09_seed1009.png,4,0.0,512,512,8.616119600003003,A09,stabilityai/sdxl-turbo,cuda
"An aerial view of Monaco's beachfront and nearby treeline, with a Formula 1 race in the background. Midday, clear sunny sky, a few residents watching from windows, no crowds, only two or three cars on the track.",1010,outputs\part_a\images\A10_seed1010.png,4,0.0,512,512,8.908601399998588,A10,stabilityai/sdxl-turbo,cuda
