prompt,seed,image_path,num_inference_steps,guidance_scale,height,width,time_seconds,prompt_id,theme,detail_level,model_id,device
a futuristic biomedical laboratory,2001,outputs\part_b\images\B01_seed2001.png,4,0.0,512,512,9.354322500003036,B01,biomedical_laboratory,short,stabilityai/sdxl-turbo,cuda
a futuristic biomedical laboratory,2002,outputs\part_b\images\B01_seed2002.png,4,0.0,512,512,9.764782500002184,B01,biomedical_laboratory,short,stabilityai/sdxl-turbo,cuda
a futuristic biomedical laboratory,2003,outputs\part_b\images\B01_seed2003.png,4,0.0,512,512,9.920761800000037,B01,biomedical_laboratory,short,stabilityai/sdxl-turbo,cuda
"a futuristic biomedical laboratory with glass walls, blue lighting, medical devices and a clean workspace",2001,outputs\part_b\images\B02_seed2001.png,4,0.0,512,512,9.120205400002305,B02,biomedical_laboratory,medium,stabilityai/sdxl-turbo,cuda
"a futuristic biomedical laboratory with glass walls, blue lighting, medical devices and a clean workspace",2002,outputs\part_b\images\B02_seed2002.png,4,0.0,512,512,8.505388799996581,B02,biomedical_laboratory,medium,stabilityai/sdxl-turbo,cuda
"a futuristic biomedical laboratory with glass walls, blue lighting, medical devices and a clean workspace",2003,outputs\part_b\images\B02_seed2003.png,4,0.0,512,512,9.995093999998062,B02,biomedical_laboratory,medium,stabilityai/sdxl-turbo,cuda
"a futuristic biomedical research laboratory with glass walls, blue neon lighting, advanced medical devices, microscopes, monitors, a clean central workspace, cinematic composition, high detail",2001,outputs\part_b\images\B03_seed2001.png,4,0.0,512,512,10.369186199997785,B03,biomedical_laboratory,detailed,stabilityai/sdxl-turbo,cuda
"a futuristic biomedical research laboratory with glass walls, blue neon lighting, advanced medical devices, microscopes, monitors, a clean central workspace, cinematic composition, high detail",2002,outputs\part_b\images\B03_seed2002.png,4,0.0,512,512,10.19843970000511,B03,biomedical_laboratory,detailed,stabilityai/sdxl-turbo,cuda
"a futuristic biomedical research laboratory with glass walls, blue neon lighting, advanced medical devices, microscopes, monitors, a clean central workspace, cinematic composition, high detail",2003,outputs\part_b\images\B03_seed2003.png,4,0.0,512,512,8.898570299999847,B03,biomedical_laboratory,detailed,stabilityai/sdxl-turbo,cuda
a portrait of an elderly scientist,2001,outputs\part_b\images\B04_seed2001.png,4,0.0,512,512,9.291784600005485,B04,scientist_portrait,short,stabilityai/sdxl-turbo,cuda
a portrait of an elderly scientist,2002,outputs\part_b\images\B04_seed2002.png,4,0.0,512,512,9.090421399996558,B04,scientist_portrait,short,stabilityai/sdxl-turbo,cuda
a portrait of an elderly scientist,2003,outputs\part_b\images\B04_seed2003.png,4,0.0,512,512,9.921110200004478,B04,scientist_portrait,short,stabilityai/sdxl-turbo,cuda
"a realistic portrait of an elderly scientist in a laboratory, soft lighting, detailed face",2001,outputs\part_b\images\B05_seed2001.png,4,0.0,512,512,9.328374999997322,B05,scientist_portrait,medium,stabilityai/sdxl-turbo,cuda
"a realistic portrait of an elderly scientist in a laboratory, soft lighting, detailed face",2002,outputs\part_b\images\B05_seed2002.png,4,0.0,512,512,10.089103800004523,B05,scientist_portrait,medium,stabilityai/sdxl-turbo,cuda
"a realistic portrait of an elderly scientist in a laboratory, soft lighting, detailed face",2003,outputs\part_b\images\B05_seed2003.png,4,0.0,512,512,9.477269099996192,B05,scientist_portrait,medium,stabilityai/sdxl-turbo,cuda
"a realistic close-up portrait of an elderly scientist wearing a white lab coat, standing inside a modern laboratory, soft lighting, detailed facial expression, shallow depth of field",2001,outputs\part_b\images\B06_seed2001.png,4,0.0,512,512,9.533125000001746,B06,scientist_portrait,detailed,stabilityai/sdxl-turbo,cuda
"a realistic close-up portrait of an elderly scientist wearing a white lab coat, standing inside a modern laboratory, soft lighting, detailed facial expression, shallow depth of field",2002,outputs\part_b\images\B06_seed2002.png,4,0.0,512,512,9.840084199997364,B06,scientist_portrait,detailed,stabilityai/sdxl-turbo,cuda
"a realistic close-up portrait of an elderly scientist wearing a white lab coat, standing inside a modern laboratory, soft lighting, detailed facial expression, shallow depth of field",2003,outputs\part_b\images\B06_seed2003.png,4,0.0,512,512,9.66481449999992,B06,scientist_portrait,detailed,stabilityai/sdxl-turbo,cuda
an autumn park landscape,2001,outputs\part_b\images\B07_seed2001.png,4,0.0,512,512,8.60957409999537,B07,autumn_park,short,stabilityai/sdxl-turbo,cuda
an autumn park landscape,2002,outputs\part_b\images\B07_seed2002.png,4,0.0,512,512,9.784592099997099,B07,autumn_park,short,stabilityai/sdxl-turbo,cuda
an autumn park landscape,2003,outputs\part_b\images\B07_seed2003.png,4,0.0,512,512,9.106564299996535,B07,autumn_park,short,stabilityai/sdxl-turbo,cuda
"an autumn park landscape with trees, falling leaves, people walking and warm afternoon light",2001,outputs\part_b\images\B08_seed2001.png,4,0.0,512,512,9.738141699999687,B08,autumn_park,medium,stabilityai/sdxl-turbo,cuda
"an autumn park landscape with trees, falling leaves, people walking and warm afternoon light",2002,outputs\part_b\images\B08_seed2002.png,4,0.0,512,512,9.466942799997923,B08,autumn_park,medium,stabilityai/sdxl-turbo,cuda
"an autumn park landscape with trees, falling leaves, people walking and warm afternoon light",2003,outputs\part_b\images\B08_seed2003.png,4,0.0,512,512,9.623401700002432,B08,autumn_park,medium,stabilityai/sdxl-turbo,cuda
