prompt,seed,image_path,num_inference_steps,guidance_scale,height,width,time_seconds,prompt_id,theme,detail_level,model_id,device,clip_cosine,clip_score,sharpness_laplacian_var
a futuristic biomedical laboratory,2001,outputs\part_b\images\B01_seed2001.png,4,0.0,512,512,9.354322500003036,B01,biomedical_laboratory,short,stabilityai/sdxl-turbo,cuda,0.3077555298805237,30.775552988052368,0.01072174683213234
a futuristic biomedical laboratory,2002,outputs\part_b\images\B01_seed2002.png,4,0.0,512,512,9.764782500002184,B01,biomedical_laboratory,short,stabilityai/sdxl-turbo,cuda,0.2946426272392273,29.46426272392273,0.009451028890907764
a futuristic biomedical laboratory,2003,outputs\part_b\images\B01_seed2003.png,4,0.0,512,512,9.920761800000037,B01,biomedical_laboratory,short,stabilityai/sdxl-turbo,cuda,0.30130529403686523,30.130529403686523,0.010572779923677444
"a futuristic biomedical laboratory with glass walls, blue lighting, medical devices and a clean workspace",2001,outputs\part_b\images\B02_seed2001.png,4,0.0,512,512,9.120205400002304,B02,biomedical_laboratory,medium,stabilityai/sdxl-turbo,cuda,0.33935725688934326,33.935725688934326,0.008961726911365986
"a futuristic biomedical laboratory with glass walls, blue lighting, medical devices and a clean workspace",2002,outputs\part_b\images\B02_seed2002.png,4,0.0,512,512,8.505388799996581,B02,biomedical_laboratory,medium,stabilityai/sdxl-turbo,cuda,0.3344913125038147,33.44913125038147,0.006696069613099098
"a futuristic biomedical laboratory with glass walls, blue lighting, medical devices and a clean workspace",2003,outputs\part_b\images\B02_seed2003.png,4,0.0,512,512,9.995093999998062,B02,biomedical_laboratory,medium,stabilityai/sdxl-turbo,cuda,0.3452061116695404,34.52061116695404,0.009190090000629425
"a futuristic biomedical research laboratory with glass walls, blue neon lighting, advanced medical devices, microscopes, monitors, a clean central workspace, cinematic composition, high detail",2001,outputs\part_b\images\B03_seed2001.png,4,0.0,512,512,10.369186199997785,B03,biomedical_laboratory,detailed,stabilityai/sdxl-turbo,cuda,0.337969571352005,33.7969571352005,0.011198405176401138
"a futuristic biomedical research laboratory with glass walls, blue neon lighting, advanced medical devices, microscopes, monitors, a clean central workspace, cinematic composition, high detail",2002,outputs\part_b\images\B03_seed2002.png,4,0.0,512,512,10.19843970000511,B03,biomedical_laboratory,detailed,stabilityai/sdxl-turbo,cuda,0.33818039298057556,33.818039298057556,0.008611100725829601
"a futuristic biomedical research laboratory with glass walls, blue neon lighting, advanced medical devices, microscopes, monitors, a clean central workspace, cinematic composition, high detail",2003,outputs\part_b\images\B03_seed2003.png,4,0.0,512,512,8.898570299999847,B03,biomedical_laboratory,detailed,stabilityai/sdxl-turbo,cuda,0.34808075428009033,34.80807542800903,0.010158296674489975
a portrait of an elderly scientist,2001,outputs\part_b\images\B04_seed2001.png,4,0.0,512,512,9.291784600005483,B04,scientist_portrait,short,stabilityai/sdxl-turbo,cuda,0.32075512409210205,32.075512409210205,0.006159048527479172
a portrait of an elderly scientist,2002,outputs\part_b\images\B04_seed2002.png,4,0.0,512,512,9.090421399996558,B04,scientist_portrait,short,stabilityai/sdxl-turbo,cuda,0.3166414499282837,31.66414499282837,0.0051893023774027824
a portrait of an elderly scientist,2003,outputs\part_b\images\B04_seed2003.png,4,0.0,512,512,9.921110200004478,B04,scientist_portrait,short,stabilityai/sdxl-turbo,cuda,0.3210178017616272,32.10178017616272,0.01710355281829834
"a realistic portrait of an elderly scientist in a laboratory, soft lighting, detailed face",2001,outputs\part_b\images\B05_seed2001.png,4,0.0,512,512,9.328374999997322,B05,scientist_portrait,medium,stabilityai/sdxl-turbo,cuda,0.35619181394577026,35.619181394577026,0.003797518089413643
"a realistic portrait of an elderly scientist in a laboratory, soft lighting, detailed face",2002,outputs\part_b\images\B05_seed2002.png,4,0.0,512,512,10.089103800004525,B05,scientist_portrait,medium,stabilityai/sdxl-turbo,cuda,0.3389545679092407,33.89545679092407,0.0024157592561095953
"a realistic portrait of an elderly scientist in a laboratory, soft lighting, detailed face",2003,outputs\part_b\images\B05_seed2003.png,4,0.0,512,512,9.477269099996192,B05,scientist_portrait,medium,stabilityai/sdxl-turbo,cuda,0.3531430959701538,35.31430959701538,0.0023467568680644035
"a realistic close-up portrait of an elderly scientist wearing a white lab coat, standing inside a modern laboratory, soft lighting, detailed facial expression, shallow depth of field",2001,outputs\part_b\images\B06_seed2001.png,4,0.0,512,512,9.533125000001746,B06,scientist_portrait,detailed,stabilityai/sdxl-turbo,cuda,0.3502013385295868,35.02013385295868,0.0025565132964402437
"a realistic close-up portrait of an elderly scientist wearing a white lab coat, standing inside a modern laboratory, soft lighting, detailed facial expression, shallow depth of field",2002,outputs\part_b\images\B06_seed2002.png,4,0.0,512,512,9.840084199997364,B06,scientist_portrait,detailed,stabilityai/sdxl-turbo,cuda,0.38263043761253357,38.26304376125336,0.0012037060223519802
"a realistic close-up portrait of an elderly scientist wearing a white lab coat, standing inside a modern laboratory, soft lighting, detailed facial expression, shallow depth of field",2003,outputs\part_b\images\B06_seed2003.png,4,0.0,512,512,9.66481449999992,B06,scientist_portrait,detailed,stabilityai/sdxl-turbo,cuda,0.35704272985458374,35.704272985458374,0.0017339402111247182
an autumn park landscape,2001,outputs\part_b\images\B07_seed2001.png,4,0.0,512,512,8.60957409999537,B07,autumn_park,short,stabilityai/sdxl-turbo,cuda,0.3135805130004883,31.358051300048828,0.01024953369051218
an autumn park landscape,2002,outputs\part_b\images\B07_seed2002.png,4,0.0,512,512,9.7845920999971,B07,autumn_park,short,stabilityai/sdxl-turbo,cuda,0.3091663718223572,30.916637182235718,0.013904396444559097
an autumn park landscape,2003,outputs\part_b\images\B07_seed2003.png,4,0.0,512,512,9.106564299996537,B07,autumn_park,short,stabilityai/sdxl-turbo,cuda,0.297809362411499,29.780936241149902,0.013363052159547806
"an autumn park landscape with trees, falling leaves, people walking and warm afternoon light",2001,outputs\part_b\images\B08_seed2001.png,4,0.0,512,512,9.738141699999687,B08,autumn_park,medium,stabilityai/sdxl-turbo,cuda,0.3337387442588806,33.37387442588806,0.011591617949306965
"an autumn park landscape with trees, falling leaves, people walking and warm afternoon light",2002,outputs\part_b\images\B08_seed2002.png,4,0.0,512,512,9.466942799997923,B08,autumn_park,medium,stabilityai/sdxl-turbo,cuda,0.31765395402908325,31.765395402908325,0.015886301174759865
